Id	PartPath	ChildType	ChildValue	InfluenceFactors	ExpectValues	DisplayName	RejectParts	AssociateFabricPart	IsDoubleSide	MetarialName1	MetarialName2	ColorPart	IsGlobalMetarial	IsMountPoint	IsDecorate	IsDefault	IsValid	SampleImage	HotPoint	HotPointRotation	HotPointHides	ViewPoint	ViewPointRotation	Weight	Instruction	IsObsolete	ModelSize
1001	/Shirt	0						1273				1		1		1	1										
1002	/Shirt/b_dangan	1				担干设计			0			1	0	1	0	1	1									0	
1005	/Shirt/b_dangan/b_neidangan	1							0			1	0	1	0	1	1									0	
1124	/Shirt/b_dangan/b_neidangan/neidangan10cm	0				10厘米高	1126		0	dangan02		1	0	0	0	0	1							0.07		1	shoulder_breadth_shirt
1200	/Shirt/b_dangan/b_neidangan/danganzhedan	0				标准内肩8cm	1126		0	dangan02		1	0	0	0	1	1							0.07		1	
1701	/Shirt/b_dangan/b_nabotiezhuangbutiao	1										1		1													
1108	/Shirt/b_dangan/b_nabotiezhuangbutiao/nabotiezhuangbutiao05cm	0				肩部落撞布	1126		1	jianbujibian		1	0	0	0	0	1	PS012/nabotiezhuangbutiao0.5cm.jpg						0.07		1	shoulder_breadth_shirt
1702	/Shirt/b_dangan/b_nabotiezhuangbutiao/b_wunabotiezhuangbutiao	0										0		1													
1004	/Shirt/b_dangan/dangan	0				标准后肩			0	dangan01		1	0	0	0	1	1	PS012/jian.jpg						0.07		1	shoulder_breadth_shirt
1703	/Shirt/b_dangan/b_nabodingjiajibian	1										1		1													
1109	/Shirt/b_dangan/b_nabodingjiajibian/nabodingjiajibian	0				肩部车唧边			1	jianbujibian		1	0	0	0	0	1	PS012/nabodingjiajibian.jpg						0.07		1	shoulder_breadth_shirt
1704	/Shirt/b_dangan/b_nabodingjiajibian/b_wunabodingjiajibian	0										0		1													
1705	/Shirt/b_dangan/b_nabodingchejianpai	1										1		1													
1110	/Shirt/b_dangan/b_nabodingchejianpai/nabodingchejianpai	0				肩部车肩牌			0	jianpai		1	0	0	0	0	1	PS012/nabodingchejianpai.jpg						0.07		1	shoulder_breadth_shirt
1706	/Shirt/b_dangan/b_nabodingchejianpai/b_wunabodingchejianpai	0										0		1													
1126	/Shirt/b_dangan/Vxingdanganbupozhong	2				V型担干不破中			0	dangan01		1	0	0	0	0	1							0.07		1	shoulder_breadth_shirt
1722	/Shirt/b_dangan/b_danganzhongpogu+++	0										1		1													
1125	/Shirt/b_dangan/b_danganzhongpogu+++/danganzhongpogu001	1				担干中破骨				dangan03		1	0	0	0	0	1							0.07		1	shoulder_breadth_shirt
1006	/Shirt/b_dangan/b_danganzhongpogu+++/danganzhongpogu002	1				肩部破中			0	dangan01		1	0	0	0	0	1	PS012/houzhongpoguzhongwenV.jpg						0.07		1	shoulder_breadth_shirt
1007	/Shirt/b_houfu	1		1275		后幅设计			0			1	0	1	0	1	1		-0.04,0.08,-0.217	0,0,0		-0.21,-0.04,-1.1	357.5,10,-1.335292E-08			0	
1747	/Shirt/b_houfu/b_pingjiaohoufu	3			2				0			1	0	1	0	0	1		-0.04,0.08,-0.217	0,0,0		-0.21,-0.04,-1.1	357.5,10,-1.335292E-08			0	
1035	/Shirt/b_houfu/b_pingjiaohoufu/houfu_pingjiao	0		1275		无褶				houfu01		1	0	0	0	1	1	PS011/houfu.png						0.17	紧身设计，适合身材标准且时尚的身材。	1	center_back_length_shirt
1036	/Shirt/b_houfu/b_pingjiaohoufu/houfubozheweipogu_pingjiao	0		1275		膊褶位破骨到衫脚			1	houfu01	houfu02	1	0	0	0	0	0	PS011/houfubozheweipogu.png						0.17		0	
1037	/Shirt/b_houfu/b_pingjiaohoufu/houfugongzizheliangbian_pingjiao	0		1275		工字皱褶两边间线	1126			houfu01		1	0	0	0	0	0	PS011/houfugongzizheliangbian.png						0.17	商务设计，适合正装革履的职场男士，彰显你帅气的精神面貌。	0	
1038	/Shirt/b_houfu/b_pingjiaohoufu/houfushenggongzizhe_pingjiao	0		1275		生工字褶	1126			houfu01		1	0	0	0	0	1	PS011/houfushenggongzizhe.png						0.17	宽松设计，适合背部肌肉较为圆厚的身材	1	
1039	/Shirt/b_houfu/b_pingjiaohoufu/houfushuangbozhe_pingjiao	0		1275		边褶	1126			houfu01		1	0	0	0	0	1	PS011/houfushuangbozhe.png						0.17	经典设计，比较适合喜欢背部活动舒服的人	1	
1040	/Shirt/b_houfu/b_pingjiaohoufu/houfuyaozhe_pingjiao	0		1275		腰省				houfu01		1	0	0	0	0	1	PS011/houfuyaozhe.png						0.17	时尚设计，可达到很好的收腰效果，尽显你小蛮腰的妖娆多姿。	1	
1748	/Shirt/b_houfu/b_yuanjiaohoufu	3			1				0			1	0	1	0	0	1		-0.04,0.08,-0.217	0,0,0		-0.21,-0.04,-1.1	357.5,10,-1.335292E-08			0	
1014	/Shirt/b_houfu/b_yuanjiaohoufu/houfu	0				无褶			0	houfu01		1	0	0	0	1	1	PS011/houfu.png						0.17	贴背设计，紧身美观	1	center_back_length_shirt
