Id	PartPath	ChildType	ChildValue	InfluenceFactors	ExpectValues	DisplayName	RejectParts	AssociateFabricPart	IsDoubleSide	MetarialName1	MetarialName2	IsGlobalMetarial	IsMountPoint	IsDecorate	IsDefault	IsValid	SampleImage	HotPoint	HotPointRotation	HotPointHides	ViewPoint	ViewPointRotation	Weight	Instruction	IsObsolete	ModelSize
2901	/xifu_s	0						2906					1			1									0	
2902	/xifu_s/bone_shirt	1							0			0	0	1	1	1									0	
2903	/xifu_s/b_lingzi	1							0			0	1	0	1	1									0	
2904	/xifu_s/b_lingzi/b_lingzi1	0		2927									1	0											0	
2048	/xifu_s/b_lingzi/b_lingzi1/xifulingzi	3			0	无饰边			0	shangyi		0	0	0	1	1	PW015/NO_PW015.jpg						0.02		1	
2047	/xifu_s/b_lingzi/b_lingzi1/lingzishibian	3			1	有饰边			0	shangyi		0	0	0	0	1	PW015/lingzishibian.jpg						0.02		1	
2905	/xifu_s/b_houfu	1				后幅设计			0			0	1	0	1	1		-0.04,0.08,-0.174	0,0,0		-0.2,-0.07,-1.097	357.5,10,-1.335292E-08			0	
2801	/xifu_s/b_houfu/houfuzhedan	1							0	shangyi		0	0	0	1	1							0.2		1	
2010	/xifu_s/b_houfu/ceca	0				开双叉			0	shangyi		0	0	0	1	1	PW003/ceca.jpg						0.2		1	shoulder_breadth_suit
2009	/xifu_s/b_houfu/bukaica	0				后背二片不开叉			0	shangyi		0	0	0	0	1	PW003/bukaica.jpg						0.2		1	shoulder_breadth_suit
2011	/xifu_s/b_houfu/danpianhoushen	0				后背三片不开叉			0	shangyi		0	0	0	0	1	PW003/danpianhoushen.jpg						0.2		1	shoulder_breadth_suit
2012	/xifu_s/b_houfu/youguojian	0				后背三片不开叉（带过肩唧边）			0	shangyi		0	0	0	0	1	PW003/youguojian.jpg						0.2		1	shoulder_breadth_suit
2008	/xifu_s/b_houfu/zhongca	0				开单叉			0	shangyi		0	0	0	0	1	PW003/zhongca.jpg						0.2		1	shoulder_breadth_suit
2906	/xifu_s/b_qianfu	1							0			0	1	0	1	1									0	
2907	/xifu_s/b_qianfu/b_botou	1				博头设计							1					0.077,0.184,0.151	0,180,3.733867E-05		-0.242,0.233,0.509	0,155,0			0	
2003	/xifu_s/b_qianfu/b_botou/b_botou1	0		2916		倾果领							1				PW001/qinguoling.jpg						0.1		0	
200301	/xifu_s/b_qianfu/b_botou/b_botou1/danpai_qinguoling_2	3			2	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
200302	/xifu_s/b_qianfu/b_botou/b_botou1/danpai_qinguoling_3	3			3	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
200303	/xifu_s/b_qianfu/b_botou/b_botou1/danpai_qinguoling_1	3			1	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
200304	/xifu_s/b_qianfu/b_botou/b_botou1/suanpai_qinguoling_2	3			5	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
200305	/xifu_s/b_qianfu/b_botou/b_botou1/suanpai_qinguoling_3	3			6	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
200306	/xifu_s/b_qianfu/b_botou/b_botou1/suanpai_qinguoling_1	3			4	倾果领		2906	0	shangyi		0	0	0	0	1	PW001/qinguoling.jpg						0.1		1	
2002	/xifu_s/b_qianfu/b_botou/b_botou2	0		2927|2916		枪驳领							1				PW001/qianboling.jpg						0.1		0	
200201	/xifu_s/b_qianfu/b_botou/b_botou2/danpai_qianboling_2	3			0|2	枪驳领		2906	0	shangyi		0	0	0	0	1	PW001/qianboling.jpg						0.1		1	
200202	/xifu_s/b_qianfu/b_botou/b_botou2/danpai_qianboling_3	3			0|3	枪驳领		2906	0	shangyi		0	0	0	0	1	PW001/qianboling.jpg						0.1		1	
200203	/xifu_s/b_qianfu/b_botou/b_botou2/danpai_qianboling_1	3			0|1	枪驳领		2906	0	shangyi		0	0	0	1	1	PW001/qianboling.jpg						0.1		1	
200204	/xifu_s/b_qianfu/b_botou/b_botou2/suanpai_qianboling_2	3			0|5	枪驳领		2906	0	shangyi		0	0	0	0	1	PW001/qianboling.jpg						0.1		1	
200205	/xifu_s/b_qianfu/b_botou/b_botou2/suanpai_qianboling_3	3			0|6	枪驳领		2906	0	shangyi		0	0	0	0	1	PW001/qianboling.jpg						0.1		1	
200206	/xifu_s/b_qianfu/b_botou/b_botou2/suanpai_qianboling_1	3			0|4	枪驳领		2906	0	shangyi		0	0	0	0	1	PW001/qianboling.jpg						0.1		1	
