Id	Chapter	CacheType	ResId	Assets	AssetNames	Links
1	1	ui	-1	2063;2061;2062;1959;1960;1961;1962;1963;1964;1965;1967;1968;1969;1970;1971;1972;1973;1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;1950;1951;1952;1953;1954;1943;2051;2052;2053;2054;2055;2056;2057;2058;2059;	assets/resources/ui/goodsphoto/money.png;assets/resources/ui/goodsphoto/diamond.png;assets/resources/ui/goodsphoto/exp.png;assets/resources/ui/goodsphoto/14101.png;assets/resources/ui/goodsphoto/14102.png;assets/resources/ui/goodsphoto/14103.png;assets/resources/ui/goodsphoto/14104.png;assets/resources/ui/goodsphoto/14105.png;assets/resources/ui/goodsphoto/14106.png;assets/resources/ui/goodsphoto/14107.png;assets/resources/ui/goodsphoto/24101.png;assets/resources/ui/goodsphoto/24102.png;assets/resources/ui/goodsphoto/24103.png;assets/resources/ui/goodsphoto/24104.png;assets/resources/ui/goodsphoto/24105.png;assets/resources/ui/goodsphoto/24106.png;assets/resources/ui/goodsphoto/24107.png;assets/resources/ui/goodsphoto/34101.png;assets/resources/ui/goodsphoto/34102.png;assets/resources/ui/goodsphoto/34103.png;assets/resources/ui/goodsphoto/34104.png;assets/resources/ui/goodsphoto/34105.png;assets/resources/ui/goodsphoto/34106.png;assets/resources/ui/goodsphoto/34107.png;assets/resources/ui/goodsphoto/44101.png;assets/resources/ui/goodsphoto/44102.png;assets/resources/ui/goodsphoto/44103.png;assets/resources/ui/goodsphoto/44104.png;assets/resources/ui/goodsphoto/44105.png;assets/resources/ui/goodsphoto/44106.png;assets/resources/ui/goodsphoto/44107.png;assets/resources/ui/goodsphoto/45101.png;assets/resources/ui/goodsphoto/45102.png;assets/resources/ui/goodsphoto/45103.png;assets/resources/ui/goodsphoto/45104.png;assets/resources/ui/goodsphoto/45105.png;assets/resources/ui/goodsphoto/45106.png;assets/resources/ui/goodsphoto/45107.png;assets/resources/ui/goodsphoto/45201.png;assets/resources/ui/goodsphoto/45202.png;assets/resources/ui/goodsphoto/45203.png;assets/resources/ui/goodsphoto/45204.png;assets/resources/ui/goodsphoto/45205.png;assets/resources/ui/goodsphoto/45206.png;assets/resources/ui/goodsphoto/45207.png;assets/resources/ui/goodsphoto/46101.png;assets/resources/ui/goodsphoto/46102.png;assets/resources/ui/goodsphoto/46103.png;assets/resources/ui/goodsphoto/46104.png;assets/resources/ui/goodsphoto/46105.png;assets/resources/ui/goodsphoto/46106.png;assets/resources/ui/goodsphoto/46107.png;assets/resources/ui/goodsphoto/46201.png;assets/resources/ui/goodsphoto/46202.png;assets/resources/ui/goodsphoto/46203.png;assets/resources/ui/goodsphoto/46204.png;assets/resources/ui/goodsphoto/46205.png;assets/resources/ui/goodsphoto/46206.png;assets/resources/ui/goodsphoto/46207.png;assets/resources/ui/goodsphoto/55101.png;assets/resources/ui/goodsphoto/55102.png;assets/resources/ui/goodsphoto/55103.png;assets/resources/ui/goodsphoto/55104.png;assets/resources/ui/goodsphoto/55105.png;assets/resources/ui/goodsphoto/55106.png;assets/resources/ui/goodsphoto/55107.png;assets/resources/ui/goodsphoto/55201.png;assets/resources/ui/goodsphoto/55202.png;assets/resources/ui/goodsphoto/55203.png;assets/resources/ui/goodsphoto/55204.png;assets/resources/ui/goodsphoto/55205.png;assets/resources/ui/goodsphoto/55206.png;assets/resources/ui/goodsphoto/55207.png;assets/resources/ui/goodsphoto/56101.png;assets/resources/ui/goodsphoto/56102.png;assets/resources/ui/goodsphoto/56103.png;assets/resources/ui/goodsphoto/56104.png;assets/resources/ui/goodsphoto/56105.png;assets/resources/ui/goodsphoto/56106.png;assets/resources/ui/goodsphoto/56107.png;assets/resources/ui/goodsphoto/56201.png;assets/resources/ui/goodsphoto/56202.png;assets/resources/ui/goodsphoto/56203.png;assets/resources/ui/goodsphoto/56204.png;assets/resources/ui/goodsphoto/56205.png;assets/resources/ui/goodsphoto/56206.png;assets/resources/ui/goodsphoto/56207.png;assets/resources/ui/goodsphoto/1006.png;assets/resources/ui/goodsphoto/101001.png;assets/resources/ui/goodsphoto/101002.png;assets/resources/ui/goodsphoto/101003.png;assets/resources/ui/goodsphoto/101004.png;assets/resources/ui/goodsphoto/1.png;assets/resources/ui/goodsphoto/916011.png;assets/resources/ui/goodsphoto/916021.png;assets/resources/ui/goodsphoto/916031.png;assets/resources/ui/goodsphoto/916041.png;assets/resources/ui/goodsphoto/916051.png;assets/resources/ui/goodsphoto/916061.png;assets/resources/ui/goodsphoto/916071.png;assets/resources/ui/goodsphoto/916081.png;assets/resources/ui/goodsphoto/916091.png;	
2	1	monster_effect	-1	1698;1710;1704;1668;1463;1527;	assets/resources/monster_fx/campaign_wild/public/6_monster_elitesign_pur.prefab;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_01.prefab;assets/resources/monster_fx/campaign_wild/05_mouse/5_mon_burrowmouse_fangun_shouji_01.prefab;assets/resources/monster_fx/campaign_desert/01_tlpmarmy/6_mon_gedang_01.prefab;assets/resources/monster_fx/campaign_dungeon/04_necro/5_mon_necro_toxic_03.prefab;	
3	-1	level	0	1;	assets/scenes/loadingscene/loading.unity;	
4	-1	level	3	235;	assets/scenes/mapdata_1011/yizhan_02.unity;	5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;
5	-1	monster	1001	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
6	-1	monster	1002	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
7	-1	monster	1003	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
8	-1	monster	1004	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
9	-1	monster	1005	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
10	-1	monster	1006	1204;1601;1894;1920;1921;1710;1600;1918;	assets/resources/monster/campaign_wild/01_bluelf/5_mon_bluelf_01.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_02.prefab;assets/resources/sound/npc/mon.prefab;assets/resources/sound/npc/guaiwu_huiwuzhong_01.wav;assets/resources/sound/npc/guaiwu_jizhong_tongyong_01.wav;assets/resources/monster_fx/campaign_wild/public/6_mon_baodian_02.prefab;assets/resources/monster_fx/campaign_wild/01_bluelf/6_mon_bluelf_daoguang_01.prefab;assets/resources/sound/npc/guaiwu_huiwuxiao_02.wav;	2;
