Id	Key	Value
# 设计相关(dc_)		
1	dc_fabric	fabric  
# 主页(m_)		
2	m_design	DIY
3	m_trendy	PopInfo
4	m_recommend	Recommend
5	m_home	Home
6	m_shopcar	ShopCart
7	m_appointment	Appointment
8	m_story	Brand
# 个人中心(pc_)		
9	pc_info	Profile
10	pc_logout	Logout
11	pc_quit	Exit
12	pc_order	Orders
13	pc_size	Size
14	pc_collect	Wishlist
15	pc_share	Share
16	pc_wallet	Wallet
# 登录(l_)		
17	l_title	Login 
18	l_phone	MobileNo
19	l_password	Password
20	l_login	Login
21	l_register	Register 
22	l_forgetpw	Forget
# 注册(r_)		
23	r_title	Register
24	r_registr	Register
25	r_verification	GetVerifyCode
26	r_phone	MobileNo
27	r_captcha	Please Input VerifyCode
28	r_password	Please Input Password
# 忘记密码(fp_)		
29	fp_title	Reset Password 
30	fp_reset	Reset 
31	fp_phone	MobileNo
32	fp_getcaptcha	GetVerifyCode 
33	fp_captcha	Please Input VerifyCode
34	fp_pw	Please Input Password
35	fp_pw2	Repeat Password
36	fp_tip	New Password Should Be Different With Old Password
# 我的信息(ui_)		
37	ui_title	Profiles
38	ui_save	Save
39	ui_name	Name
40	ui_nickname	Nickname
41	ui_phone	Mobile
42	ui_cellphone	Mobile
43	ui_head	HeadPortrait
# 我的订单(o_)		
44	o_title	MyOrder
45	o_payment	ForPayment
46	o_receiving	ForReceive
47	o_comment	ForComment
48	o_all	All
# 我的尺寸(cst_)		
49	cst_title	Size
50	cst_mysize	BodySize
51	cst_clothsize	ShirtSize
52	cst_appointment	Hotline
# 我的收藏(c_)		
53	c_title	Wishlist
54	c_collect	added
# 潮流资讯(t_)		
55	t_title	Pop Info
# 款式推荐(re_)		
56	re_title	Style Reference 
# 预约量身(a_)		Appoinment To Measure
57	a_title	Hotline
58	a_tip	Guangzhou And Gongguan Available 
# 品牌故事(b_)		BrandStory
59	b_title	BrandStory
# 购物车(sc_）		
60	sc_title	Shop Cart
61	sc_all	All
62	sc_total	Total:
63	sc_currency	$
64	sc_submit	Place Order
65	sc_quantity	Qty:
# 订单列表项(or_p_)		
66	or_p_oo	PO#:
67	or_p_mun	Qty:
68	or_p_quantity	Qty:
69	or_p_pri	Amount
70	or_p_currency	$
71	or_p_appraise	Comment And Share 
72	or_p_pay	Checkout 
73	or_p_cancle	Cancel
74	or_p_receipt	ConfirmReceived
75	or_p_blclothespay	BILANG(CombinedPayment)
76	or_p_blclothes	BILANG
77	or_p_recipient	Received 
78	or_p_delivery	Consigned
79	or_p_payment	ForPayment
80	or_p_hbcancle	Cancelled
#订单详情(or_d_)		
81	or_d_title	Details
82	or_d_id	PO#:
83	or_d_quantity	Qty:
84	or_d_sum	Amount:
85	or_d_dispatching	Shipping
86	or_d_testsize	Size
87	or_d_deliverytype	Shipping in All Day 
88	or_d_confirm	Confirm received 
89	or_d_payment	Checkout 
90	or_d_cancleorder	Cancel order 
# 开始测量(ms_)		
91	ms_title	Start measure
92	ms_method	Measure method
93	ms_neck	 Neck length
94	ms_bust	Chest circle
95	ms_waistline	Waist circle 
96	ms_clotheslength	Body length
97	ms_sleevelength	Sleeve length
98	ms_shoulder	Shoulder width
99	ms_cuff	Cuff width
100	ms_sleevewidth	Bicep size
101	ms_testneck	From button center to button hole center
102	ms_testbust	"Button up, at the armhole' bottom from left to right as picture and double"
103	ms_testwaistline	"Button up,at the narrowest part ,from left to right and double"
104	ms_testclotheslength	From the seam Of the neck to the ham 
105	ms_testsleevelength	From the sleeve's top to the cuff's edge
106	ms_testshoulder	"At the shoulder's top,from left to right"
107	ms_testcuff	"Button up,double from left to right"
108	ms_testsleevewidth	Measure as picture 
#测量尺寸(mm_)		
109	mm_title	Measurement
110	mm_neck	Neck
111	mm_bust	Chest
112	mm_waistline	Waist
113	mm_clotheslength	Body length
114	mm_sleevelength	Sleeve length
115	mm_shoulder	Shoulder width
116	mm_cuff	Cuff width
117	mm_sleevewidth	Bicep width
118	mm_historysize	History size
119	mm_referencesize	Refer size 
#历史尺寸(mm_hy)		
120	mm_hy_title	History size
121	mm_hy_neck	Neck
122	mm_hy_bust	Chest 
123	mm_hy_waistline	Waist
